PROMOTOR-GESTOR;ACCES;TIPUS VELOCITAT;TIPUS CONNEXIÓ;LATITUD;LONGITUD;IDENTIFICADOR;DESIGNACIÓ-DESCRIPTIVA;IDE PDR;ADREÇA;PROVINCIA;CODIPROV;MUNICIPI;CODIINE;NPLACES ESTACIÓ;TIPUS VEHICLE;TELEFON;HORARI;INFORMACIÓ ADICIONAL
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;Schuko;41.401478; 2.156578; 08-0193-001 ;B:SM 56 - Plaça del Sol;BAMSA001;Plaça del Sol, 5;Barcelona;08;Barcelona;0193;1;cotxe;;;
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;Schuko;41.398969;2.153493; 08-0193-002 ;B:SM 57 - Plaça Gal·la Placídia;BAMSA002;Plaça de Gal·la Placídia, 2;Barcelona;08;Barcelona;0193;1;cotxe;;;
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;Schuko;41.379559;2.162010; 08-0193-003 ;B:SM 46 - Urgell;BAMSA003;Carrer del Comte d'Urgell, 14;Barcelona;08;Barcelona;0193;1;cotxe;;;
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;Schuko;41.385654;2.177128; 08-0193-004 ;B:SM 51 - Mercat Santa Caterina;BAMSA004;Avinguda  de Francesc Cambó, 10;Barcelona;08;Barcelona;0193;3;cotxe o moto;;;
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;Schuko;41.382126174;2.168188081; 08-0193-005 ;B:SM 50 - Plaça dels Àngels;BAMSA005;Carrer dels Àngels, 1;Barcelona;08;Barcelona;0193;3;cotxe o moto;93.441.05.04;;
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;Schuko;41.379272;2.169613; 08-0193-006 ;B:SM 49 - Sant Rafael;BAMSA006;Carrer de Sant Rafael, 15;Barcelona;08;Barcelona;0193;4;cotxe;;;
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;Schuko;41.375320;2.169709; 08-0193-007 ;B:SM 48 - Plaça Raquel Meyer - Paral·lel;BAMSA007;Carrer de l'Abat Safont, 2;Barcelona;08;Barcelona;0193;1;cotxe;;;
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;Schuko;41.383144;2.150551; 08-0193-008 ;B:SM 55 -  Calàbria-València;BAMSA008;Carrer de València,77 - Carrer de Calàbria, 182;Barcelona;08;Barcelona;0193;1;cotxe;;;
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;Schuko;41.390085;2.143525; 08-0193-009 ;B:SM 58 - Tarradelles-Sarrià;BAMSA009;Avinguda  de Josep Tarradellas, 139;Barcelona;08;Barcelona;0193;1;cotxe;;;
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;Schuko;41.401794;2.160702; 08-0193-010 ;B:SM 47 - Siracusa;BAMSA010;Carrer de Siracusa, 39 - 51;Barcelona;08;Barcelona;0193;1;cotxe;;;
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;Schuko;41.379936;2.189115; 08-0193-011 ;B:SM 59- Barceloneta Centre;BAMSA011;Carrer Escuder, 1;Barcelona;08;Barcelona;0193;1;cotxe;;;
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;Schuko;41.374588;2.142870; 08-0193-012 ;B:SM 45 - Vilardell;BAMSA012;Carrer de Vilardell, 20;Barcelona;08;Barcelona;0193;1;cotxe;;;
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;Schuko;41.385727;2.142850; 08-0193-013 ;B:SM 52 - Tarradelles-Entença;BAMSA013;Avinguda  de Josep Tarradellas, 64;Barcelona;08;Barcelona;0193;1;cotxe;;;
