,TOWN,SPOTS,LATITUDE,LONGITUDE
0,Vilanova I La Geltrú,2,41.2205858,1.723097599
1,Barberà Del Vallès,2,41.508264,2.138665
2,Cornellà De Llobregat,7,41.34821052,2.078057528
3,Canyamars,1,41.59903164,2.444014102
4,Martorell,2,41.48402,1.91808
5,Cerdanyola Del Vallès,1,41.4867889,2.12674235
6,Montmeló,2,41.568653,2.25782
7,Canet De Mar,1,41.588539,2.580349
8,Vilafant,2,42.24867,2.95637
9,Santa Coloma De Gramenet,9,41.451025,2.209483
10,El Masnou,2,41.47799044,2.304726294
11,Campins,2,41.7239,2.4634
12,Montornès Del Vallès,2,41.545427,2.266663
13,Mataró,7,41.55101745,2.453290292
14,Ripoll,2,42.20067264,2.190277129
15,Pineda De Mar,3,41.622734,2.671451
16,La Garriga,1,41.682718,2.2825619
17,Gavà,4,41.306022,2.005376
18,Subirats,5,41.40167,1.757021
19,Molins De Rei,5,41.41200181,2.015137604
20,Banyoles,1,42.119119,2.764798
21,Igualada,1,41.588905,1.6218929
22,Manresa,10,41.7227,1.8456
23,Rubí,8,41.488958,2.0353593
24,Girona,5,41.98145668,2.823227495
25,Lleida,5,41.614821,0.684832
26,Santpedor,1,41.78188555,1.836778075
27,Sant Adrià De Besòs,4,41.43221046,2.21061632
28,La Canonja,4,41.134761,1.169125
29,Sant Quirze Del Vallès,2,41.53044,2.08878
30,Sabadell,24,41.511,2.1063
31,El Prat De Llobregat,1,41.31814,2.07481
32,Esterri D'Àneu,1,42.61485092,1.124329716
33,L'Hospitalet De Llobregat,10,41.37423829,2.119582102
34,Sant Pere Vilamajor,2,41.6995,2.3834
35,Cambrils,6,41.07451,1.0526
36,Tarragona,8,41.12115944,1.242038612
37,Cabrils,1,41.526897,2.366464
38,Cassà De La Selva,1,41.88974915,2.866575153
39,Sant Boi De Llobregat,4,41.3546,2.1247
40,Montblanc,1,41.3793661,1.1631832
41,Castelldefels,3,41.281941,1.980239
42,Terradelles,1,42.0951739,2.892667204
43,Roses,1,42.2663804,3.1634372
44,Badalona,26,41.45252772,2.249290201
45,Granollers,9,41.60816017,2.287309987
46,Viladecavalls,7,41.560821,1.961738
47,Caldes D'Estrach,2,41.56712808,2.521523908
48,Barcelona,485,41.401478,2.156578
49,Alella,2,41.49187,2.295535
50,Esparreguera,1,41.52801,1.8809321
51,Cabrera De Mar,2,41.51978,2.421356
52,Cornella De Terri,1,42.08469776,2.814382911
53,Tona,1,41.84919539,2.22780389
54,Vic,8,41.933748,2.248307
55,Martorelles,1,41.52744132,2.228490246
56,Blanes,1,41.6798812,2.778669306
57,Llinars Del Vallès,2,41.64018423,2.399023735
58,Sitges,3,41.234074,1.80405
59,Celrà,1,42.025269,2.865046
60,Viladecans,4,41.321165,2.027702
61,Sant Cugat Del Valles,3,41.469931,2.08801
62,Reus,23,41.15032252,1.092740585
63,L'Ampolla,1,40.8212,0.6887
64,La Roca Del Vallès,3,41.596529,2.309376
65,Sant Feliu De Guíxols,1,41.7836,3.0241
66,El Prat,2,41.335179,2.088768
67,Terrassa,8,41.56430879,2.035557926
